Message,Category,Priority
sunog sa may rainbow st concepcion dos,Fire,Critical
tulong po nasusunog na yung day care center,Fire,Critical
nasusunog na yung parlor sa kanto may tao,Fire,Critical
apoy sa may junk shop mabilis lumaki,Fire,Critical
sunog sa may lilac st maraming restaurant apektado,Fire,Critical
HELP FIRE SA VILLAFLORES SUBD,Fire,Critical
nasusunog na yung barracks ng construction site,Fire,Critical
tulong po nasusunog na yung palengke sa tumana,Fire,Critical
sunog sa may jollibee crossing delikado,Fire,Critical
fire sa may puregold malanday,Fire,Critical
nasusunog na yung dental clinic sa 2nd floor,Fire,Critical
tulong may sunog sa gym puno ng tao,Fire,Critical
sunog sa may engineering bldg ng pup marikina,Fire,Critical
apoy sa may terminal ng jeep sa bayan,Fire,Critical
nasusunog na yung warehouse ng sapatos,Fire,Critical
TULONG MAY SUNOG SA LIKOD NG BAHAY NAMIN DI KAMI MAKALABAS,Fire,Critical
sunog sa may dela paz malapit sa boundary,Fire,Critical
nasusunog na yung furniture shop daming kahoy,Fire,Critical
fire sa may sta lucia banda residential,Fire,Critical
tulong po nasusunog na yung dormitory,Fire,Critical
sunog sa may gil fernando ave commercial area,Fire,Critical
apoy sa may pet shop kawawa mga hayop,Fire,Critical
nasusunog na yung printing press,Fire,Critical
fire sa may water district office,Fire,Critical
tulong nasusunog na yung pawnshop may tao sa vault,Fire,Critical
sunog sa may shoe avenue traffic na,Fire,Critical
nasusunog na yung call center office,Fire,Critical
fire sa may roosevelt college area,Fire,Critical
tulong po nasusunog na yung car wash shop,Fire,Critical
sunog sa may barangay hall ng malanday,Fire,Critical
apoy sa may vulcanizing shop,Fire,Critical
nasusunog na yung textile warehouse,Fire,Critical
fire sa may marikina bridge ilalim,Fire,Critical
tulong may sunog sa plastic factory,Fire,Critical
sunog sa may circulo verde banda,Fire,Critical
nasusunog na yung storage ng alcohol delikado,Fire,Critical
fire sa may marcos highway residential side,Fire,Critical
tulong po nasusunog na yung bakery sa tumana,Fire,Critical
sunog sa may jp rizal st,Fire,Critical
apoy sa may laundry shop sumabog dryer,Fire,Critical
nasusunog na yung stock room ng mercury drug,Fire,Critical
fire sa may amang rodriguez hospital vicinity,Fire,Critical
tulong nasusunog na yung canteen,Fire,Critical
May sunog po dito sa bahay namin malaki na ang apoy,Fire,Critical
Tulong nasusunog ang bahay namin malaki ang apoy,Fire,Critical
Sunog sa bahay malaki na ang usok at apoy,Fire,Critical
Nasusunog ang bahay kailangan ng bumbero,Fire,Critical
Malaki ang apoy sa bahay namin tulong,Fire,Critical
Apoy sa bahay delikado na,Fire,Critical
Bahay ang nasusunog hindi basura,Fire,Critical
Sunog sa residential area malaki ang apoy,Fire,Critical
Nasusunog na bahay sa village,Fire,Critical
Malaking sunog sa bahay trap ang tao,Fire,Critical
Tulong po nasusunog na ang bahay namin,Fire,Critical
May sunog po dito sa concepcion malaki na ang apoy,Fire,Critical
Paki-rescue po kami may sunog sa loob,Fire,Critical
Sunog po! Tulong po! Malaki na ang apoy!,Fire,Critical
Emergency po nasusunog ang building,Fire,Critical
Bumbero po kailangan namin agad,Fire,Critical
Tulong po na-trap kami sa kwarto,Fire,Critical
Sunog po sa kusina kumalat na sa sala,Fire,Critical
Parang awa nyo na po may sunog dito,Fire,Critical
Opo nasusunog na po ang buong bahay namin,Fire,Critical
nagliliyab na yung poste ng kuryente sa tapat ng bahay,Fire,High
may malaking apoy sa bakanteng lote sa parang,Fire,High
nasusunog yung kotseng nakapark sa concepcion,Fire,High
umabot na sa bubong yung apoy galing sa kapitbahay,Fire,High
may fire sa 2nd floor ng commercial bldg pero nakalabas na mga tao,Fire,High
nasusunog yung mga damo sa riverbanks lumalaki na,Fire,High
may nagliliyab na puno sa tumana baka madamay bahay,Fire,High
sunog na truck sa marcos highway,Fire,High
umuusok ng itim at may apoy sa likod ng school,Fire,High
nasusunog na yung bodega ng papel,Fire,High
may apoy sa kitchen ng restaurant sa lilac,Fire,High
nagliliyab na basurahan sa tabi ng kotse,Fire,High
nasunog yung aircon ng kapitbahay may apoy na lumalabas,Fire,High
may fire sa electrical room ng office,Fire,High
nasusunog yung generator ng bldg,Fire,High
apoy sa may construction site sa nangka,Fire,High
nagliliyab yung wire ng internet sa poste,Fire,High
may sunog sa garage namin nasusunog na yung tool shed,Fire,High
nasusunog yung tindahan pero sarado naman,Fire,High
may apoy sa showroom ng furniture,Fire,High
nagliliyab na motor sa kalsada,Fire,High
nasusunog yung stockpile ng kahoy sa hardware,Fire,High
may fire sa server room namin,Fire,High
nasusunog yung extension ng bahay,Fire,High
apoy sa may bakod namin galing sa labas,Fire,High
nagliliyab na transformer sa bayan,Fire,High
may sunog sa rooftop ng apartment,Fire,High
nasusunog yung mga karton sa likod ng grocery,Fire,High
may apoy sa stockroom ng sapatos,Fire,High
nagliliyab na delivery van,Fire,High
nasusunog yung kusina ng karinderya,Fire,High
may fire sa laundry area ng dorm,Fire,High
nasusunog yung mga plastic sa junkshop,Fire,High
apoy sa may waiting shed,Fire,High
nagliliyab na plastic barrier sa kalsada,Fire,High
nasusunog yung billboard sa highway,Fire,High
may sunog sa locker room ng gym,Fire,High
nasusunog yung vending machine,Fire,High
apoy sa may electrical post sa provident,Fire,High
nagliliyab na puno ng acacia,Fire,High
nasusunog yung shed sa park,Fire,High
may fire sa basement parking,Fire,High
nasusunog yung tent sa evacuation site,Fire,High
apoy sa may gate ng subdivision,Fire,High
nagliliyab na wires sa kanto,Fire,High
nasusunog yung tricycle sa terminal,Fire,High
may sunog sa dirty kitchen,Fire,High
nasusunog yung tambak ng gulong,Fire,High
apoy sa may bodega ng bigas,Fire,High
nagliliyab na sofa sa labas ng bahay,Fire,High
nasusunog yung teresa ng kapitbahay,Fire,High
may fire sa utility room,Fire,High
nasusunog yung mga pallets sa warehouse,Fire,High
apoy sa may poste ng ilaw,Fire,High
nagliliyab na mga dahon sa bakuran,Fire,High
nasusunog yung motor ng water pump,Fire,High
may sunog sa party venue,Fire,High
nasusunog yung sound system sa event,Fire,High
apoy sa may stage ng plaza,Fire,High
nagliliyab na mga decoration sa mall,Fire,High
nasusunog yung display sa window,Fire,High
may fire sa storage ng cleaning supplies,Fire,High
nasusunog yung mga file sa office,Fire,High
apoy sa may photocopy machine,Fire,High
nagliliyab na kurtina sa bintana,Fire,High
nasusunog yung carpet sa hallway,Fire,High
may sunog sa prayer room,Fire,High
nasusunog yung exhaust fan sa cr,Fire,High
apoy sa may garden set,Fire,High
nagliliyab na payong ng tindahan,Fire,High
nasusunog yung trapal ng jeep,Fire,High
may fire sa battery ng solar panel,Fire,High
nasusunog yung inverter ng kuryente,Fire,High
apoy sa may welding shop,Fire,High
nagliliyab na acetylene tank,Fire,High
nasusunog yung pintura sa hardware,Fire,High
may sunog sa fiberglass na bangka,Fire,High
nasusunog yung life vest storage,Fire,High
apoy sa may rubber mats,Fire,High
nagliliyab na foam ng kama,Fire,High
nasusunog yung mga lumang dyaryo,Fire,High
may fire sa archive room,Fire,High
nasusunog yung projector sa classroom,Fire,High
apoy sa may laboratory table,Fire,High
nagliliyab na kemikal sa bote,Fire,High
nasusunog yung bunsen burner,Fire,High
may sunog sa art room,Fire,High
nasusunog yung canvas at paint,Fire,High
apoy sa may music room,Fire,High
nagliliyab na speaker,Fire,High
nasusunog yung amplifier,Fire,High
may fire sa dressing room,Fire,High
nasusunog yung mga costume,Fire,High
apoy sa may make-up station,Fire,High
nagliliyab na hair dryer,Fire,High
nasusunog yung steamer ng damit,Fire,High
may sunog sa plantsahan,Fire,High
nasusunog yung washing machine,Fire,High
apoy sa may dryer vent,Fire,High
may naamoy akong sunog na goma dito sa nangka,Fire,Medium
parang may usok sa likod ng building check nyo,Fire,Medium
amoy plastic na sinusunog sa concepcion,Fire,Medium
may black smoke sa may riverbanks banda,Fire,Medium
umuusok yung outlet namin pero wala namang apoy,Fire,Medium
amoy sunog na wire sa office namin,Fire,Medium
parang may nagliliyab sa malayo di ko sure kung siga,Fire,Medium
may usok na lumalabas sa manhole,Fire,Medium
amoy gasul dito sa kanto baka sumabog,Fire,Medium
umuusok yung ilalim ng sasakyan,Fire,Medium
may nakita akong usok sa taas ng mall,Fire,Medium
amoy sunog na kanin sa kapitbahay,Fire,Medium
parang may sunog sa marikina heights may haze,Fire,Medium
umuusok yung poste ng meralco,Fire,Medium
may amoy ng nasusunog na kahoy,Fire,Medium
grey smoke sa may subdivision gate,Fire,Medium
may tumutunog na fire alarm sa bldg,Fire,Medium
amoy kemikal na nasusunog,Fire,Medium
umuusok yung aircon unit,Fire,Medium
may usok sa may basurahan,Fire,Medium
parang may sunog sa school may usok eh,Fire,Medium
amoy sunog na mantika,Fire,Medium
umuusok yung engine ng jeep,Fire,Medium
may nakitang usok sa cctv sa warehouse,Fire,Medium
amoy usok galing sa ventilation,Fire,Medium
parang may nasusunog na appliances,Fire,Medium
umuusok yung extension cord,Fire,Medium
may usok sa elevator shaft,Fire,Medium
amoy sunog na carpet,Fire,Medium
parang may apoy sa bundok malabo lang,Fire,Medium
umuusok yung tambutso ng generator,Fire,Medium
may usok sa server room,Fire,Medium
amoy burning electronics,Fire,Medium
parang may sunog sa palengke maasok,Fire,Medium
umuusok yung transformer,Fire,Medium
may usok sa parking lot,Fire,Medium
amoy clutch na nasusunog,Fire,Medium
parang may sunog sa kusina,Fire,Medium
umuusok yung toaster,Fire,Medium
may usok sa laundry area,Fire,Medium
amoy lint na nasusunog,Fire,Medium
parang may sunog sa neighbor,Fire,Medium
umuusok yung chimney,Fire,Medium
may usok sa factory area,Fire,Medium
amoy rubber na nasusunog,Fire,Medium
parang may sunog sa forest,Fire,Medium
umuusok yung grass field,Fire,Medium
may usok sa construction site,Fire,Medium
amoy welding fumes,Fire,Medium
parang may sunog sa welding shop,Fire,Medium
umuusok yung soldering iron,Fire,Medium
may usok sa chemical lab,Fire,Medium
amoy sulfur na nasusunog,Fire,Medium
parang may sunog sa pharmacy,Fire,Medium
umuusok yung medicine cabinet,Fire,Medium
may usok sa stock room,Fire,Medium
amoy cardboard na nasusunog,Fire,Medium
parang may sunog sa bookstore,Fire,Medium
umuusok yung photocopy machine,Fire,Medium
may usok sa computer lab,Fire,Medium
amoy cpu na nasusunog,Fire,Medium
parang may sunog sa internet cafe,Fire,Medium
umuusok yung router,Fire,Medium
may usok sa bakery,Fire,Medium
amoy tinapay na nasusunog,Fire,Medium
parang may sunog sa oven,Fire,Medium
umuusok yung pugon,Fire,Medium
may usok sa grillery,Fire,Medium
amoy bbq na nasusunog,Fire,Medium
parang may sunog sa ihawan,Fire,Medium
umuusok yung uling,Fire,Medium
may usok sa fireplace,Fire,Medium
amoy kahoy na nasusunog,Fire,Medium
parang may sunog sa campsite,Fire,Medium
umuusok yung bonfire,Fire,Medium
may usok sa park,Fire,Medium
amoy damo na nasusunog,Fire,Medium
parang may sunog sa garden,Fire,Medium
umuusok yung compost pit,Fire,Medium
may usok sa basurahan,Fire,Medium
amoy basura na nasusunog,Fire,Medium
parang may sunog sa dumpsite,Fire,Medium
umuusok yung landfill,Fire,Medium
may usok sa recycling center,Fire,Medium
amoy plastic bottles na nasusunog,Fire,Medium
parang may sunog sa junkshop,Fire,Medium
umuusok yung scrap metal,Fire,Medium
may usok sa talyer,Fire,Medium
amoy langis na nasusunog,Fire,Medium
parang may sunog sa garage,Fire,Medium
umuusok yung motor oil,Fire,Medium
may usok sa gas station,Fire,Medium
amoy gasolina na nasusunog,Fire,Medium
parang may sunog sa fuel tank,Fire,Medium
umuusok yung tangke,Fire,Medium
may usok sa lpg store,Fire,Medium
amoy gas leak,Fire,Medium
parang may sunog sa kitchen,Fire,Medium
umuusok yung kalan,Fire,Medium
may usok sa lutuan,Fire,Medium
nagsisiga lang po ng dahon sa likod bahay,Fire,Low
false alarm usok lang ng nag-iihaw ng bbq,Fire,Low
napatay na yung sunog sa kalan okay na po,Fire,Low
may nagsindi lang ng kandila sa sementeryo,Fire,Low
usok lang ng tambutso ng jeep akala ko sunog,Fire,Low
nagluluto lang gamit kahoy kaya maasok,Fire,Low
nagpapaputok lang ng labintador,Fire,Low
may nagsusunog ng basura pinagbawalan ko na,Fire,Low
okay na po napatay na namin yung apoy sa basurahan,Fire,Low
nagsisiga si tatay sa bakuran,Fire,Low
wala pong sunog fogging lang ng barangay,Fire,Low
nag-iinuman lang tapos nag bonfire maliit lang,Fire,Low
usok ng vape akala ko sunog,Fire,Low
nagsisindi ng katol kaya maasok,Fire,Low
controlled burning naman po binabantayan,Fire,Low
may naglalaro lang ng lighter,Fire,Low
napatay na yung spark sa outlet,Fire,Low
false alarm alikabok lang pala,Fire,Low
nagsusunog ng mga lumang damo,Fire,Low
nagpapausok para sa lamok,Fire,Low
usok galing sa humidifier,Fire,Low
steam lang po galing sa luto,Fire,Low
may nagsisiga sa kanto pero maliit lang,Fire,Low
amoy usok kasi may nagkakaingin sa malayo,Fire,Low
wala pong sunog nagtetest lang ng alarm,Fire,Low
nag-aamoy sunog kasi tostado yung niluluto,Fire,Low
usok ng sigarilyo sa balcony,Fire,Low
may nag-iihaw ng isda sa tapat,Fire,Low
nagsisindi ng insenso sa altar,Fire,Low
usok ng sasakyan na luma,Fire,Low
may nagsisiga sa vacant lot pero binabantayan,Fire,Low
false alarm reflection lang ng araw,Fire,Low
napatay na ng guard yung sunog,Fire,Low
nag-drill lang kaya umusok konti,Fire,Low
alikabok sa construction hindi usok,Fire,Low
nagsusunog ng tuyong sanga,Fire,Low
may nagbubunot ng damo tapos sinusunog,Fire,Low
usok ng tricycle na 2 stroke,Fire,Low
amoy sunog na popcorn lang,Fire,Low
nagsisindi ng aroma burner,Fire,Low
may nagpa-plantsa lang ng buhok umusok,Fire,Low
nasunog lang yung sinaing pero okay na,Fire,Low
false alarm may nagvivideoke lang na may smoke machine,Fire,Low
usok sa stage effect lang,Fire,Low
nagsisiga para sa mga peste,Fire,Low
may nagwewelding pero safe naman,Fire,Low
usok ng soldering iron sa repair shop,Fire,Low
nagluluto ng lechon sa bakuran,Fire,Low
may nag-iihaw ng liempo,Fire,Low
usok ng chicken inasal,Fire,Low
nag-bbq party lang po kami,Fire,Low
nagsisiga ng papel sa drum,Fire,Low
may nagsusunog ng love letters,Fire,Low
usok ng tambutso ng bus,Fire,Low
nag-rev ng motor kaya umusok,Fire,Low
false alarm hamog lang,Fire,Low
amoy sunog na goma pero sa kalsada,Fire,Low
may naglalaro ng matches pero sinaway na,Fire,Low
napatay na yung apoy sa kawali,Fire,Low
nasunog yung fuse pero pinalitan na,Fire,Low
spark lang sa switch okay na,Fire,Low
may nagpalipad ng lantern,Fire,Low
nagsisindi ng sparklers,Fire,Low
usok ng watusi,Fire,Low
may nagpaputok ng piccolo,Fire,Low
nagsusunog ng effigy sa rally maliit lang,Fire,Low
usok ng dry ice,Fire,Low
may nag-experiment sa lab konting usok lang,Fire,Low
nagsisiga sa campsite,Fire,Low
usok ng torch,Fire,Low
may nag-aayos ng bubong nag-iinit ng sealant,Fire,Low
amoy aspalto na inaayos,Fire,Low
false alarm amoy lang ng pintura,Fire,Low
may nag-spray paint kaya maasok,Fire,Low
usok ng pest control,Fire,Low
nag-fogging kontra dengue,Fire,Low
may nag-aalis ng anay,Fire,Low
amoy kemikal panlinis hindi sunog,Fire,Low
false alarm amoy durian lang,Fire,Low
may nagluto ng tuyo akala sunog,Fire,Low
usok ng steamer,Fire,Low
nagluluto ng puto bumbong,Fire,Low
may nagbibibingka sa kanto,Fire,Low
usok ng roasted chestnut,Fire,Low
nag-iihaw ng mais,Fire,Low
may nagluluto ng banana cue,Fire,Low
usok ng fishball vendor,Fire,Low
nagluluto ng kwek kwek,Fire,Low
may nagprito ng isaw,Fire,Low
usok ng barbecue stand,Fire,Low
nagluluto ng pares,Fire,Low
may nag-iihaw ng betamax,Fire,Low
usok ng adidas,Fire,Low
nagluluto ng helmet,Fire,Low
may nag-iihaw ng ulo ng manok,Fire,Low
usok ng balut vendor,Fire,Low
nagluluto ng penoy,Fire,Low
may nagbebenta ng mani,Fire,Low
usok ng kastanyas,Fire,Low
nasusunog lang po yung posporo na sinindi ko,Fire,Low
may maliit na apoy galing sa lighter,Fire,Low
nasunog yung dulo ng matchstick,Fire,Low
naglalaro ng posporo yung bata pero sinaway na,Fire,Low
amoy posporo lang po ito hindi sunog,Fire,Low
may sindi lang ng kandila sa altar safe naman,Fire,Low
nasusunog na wick ng kandila,Fire,Low
ubos na yung posporo kaya amoy sunog,Fire,Low
nagsindi ng lighter para sa sigarilyo,Fire,Low
may apoy sa birthday cake candles,Fire,Low
nasusunog na yung sinaing ko sorry,Fire,Low
amoy sunog na ulam pero napatay na kalan,Fire,Low
sunog na yung hotdog na niluluto,Fire,Low
nasunog yung popcorn sa microwave,Fire,Low
may itim na usok galing sa nasunog na tinapay,Fire,Low
nasusunog yung mantika sa kawali pero tinakpan na,Fire,Low
sunog na yung balat ng lechon,Fire,Low
amoy sunog na bawang,Fire,Low
nasobrahan sa luto nasunog yung ilalim,Fire,Low
usok galing sa burnt toast,Fire,Low
nasusunog na papel sa ashtray,Fire,Low
nagsusunog ng love letter sa sink,Fire,Low
may sinusunog na hibla ng sinulid,Fire,Low
nasunog yung dulo ng tali,Fire,Low
pinapatay yung apoy sa katol,Fire,Low
may baga sa uling pang samgyupsal,Fire,Low
nasusunog na insenso pampabango,Fire,Low
usok galing sa mosquito coil,Fire,Low
maliit na apoy sa kalan pang init ng tubig,Fire,Low
nasunog na hair strand sa blower,Fire,Low
nasusunog ang posporo,Fire,Low
nasusunog ang kandila,Fire,Low
nasusunog ang papel,Fire,Low
nasusunog ang sinaing,Fire,Low
nasusunog ang ulam,Fire,Low
nasusunog ang dahon,Fire,Low
nasusunog ang basura,Fire,Low
nasusunog ang sinulid,Fire,Low
nasusunog ang buhok,Fire,Low
nasusunog ang lighter,Fire,Low
nasusunog ang stick,Fire,Low
nasusunog ang tissue,Fire,Low
nasusunog ang kahoy na maliit,Fire,Low
nasusunog ang katol,Fire,Low
nasusunog ang insenso,Fire,Low
nasusunog ang damo sa paso,Fire,Low
nasusunog ang dumi,Fire,Low
nasusunog ang tuyong dahon,Fire,Low
nasusunog ang balat ng candy,Fire,Low
nasusunog ang uling,Fire,Low
nasusunog yung posporo,Fire,Low
nasusunog yung kandila,Fire,Low
nasusunog yung papel,Fire,Low
nasusunog yung sinaing,Fire,Low
nasusunog yung ulam,Fire,Low
nasusunog yung dahon,Fire,Low
nasusunog yung basura,Fire,Low
nasusunog na ang posporo,Fire,Low
nasusunog na ang kandila,Fire,Low
nasusunog na ang papel,Fire,Low
nasusunog na ang sinaing,Fire,Low
nasusunog na ang ulam,Fire,Low
TULONG! Gumuho ang 3-story apartment sa Tumana may mga bata sa loob!,BuildingCollapse,Critical
bumagsak na yung buong pader ng warehouse sa nangka naipit sila,BuildingCollapse,Critical
COLLAPSED BUILDING SA MAY CONCEPCION MERON PA TAO SA ILALIM,BuildingCollapse,Critical
saklolo natabunan kami ng debris d kami makagalaw,BuildingCollapse,Critical
GUHO NA ANG SCHOOL BUILDING SA BARANGKA MAY KLASE PA KANINA,BuildingCollapse,Critical
tulungan nyo kami gumuho yung bahay ng kapitbahay naririnig ko sila sumisigaw,BuildingCollapse,Critical
BUMAGSAK YUNG BUONG 2ND FLOOR SA SALA NAMIN,BuildingCollapse,Critical
tulong po naipit yung lola ko sa gumuhong pader,BuildingCollapse,Critical
TOTAL COLLAPSE NG COMMERCIAL BLDG SA BAYAN PLS SEND RESCUE,BuildingCollapse,Critical
nadaganan ng poste at pader yung sasakyan may tao sa loob,BuildingCollapse,Critical
guho na yung lumang simbahan may mga nagdadasal,BuildingCollapse,Critical
hlep na trap kmi sa ilalim ng hagdan gumuho na taas,BuildingCollapse,Critical
bumigay na yung foundation ng bahay tumagilid tapos bumagsak,BuildingCollapse,Critical
FLATTENED YUNG BAHAY SA TABI NG ILOG SA CALUMPANG,BuildingCollapse,Critical
may naririnig akong umiiyak sa ilalim ng rubble tulong,BuildingCollapse,Critical
gumuhu na ung hardware store sa malanday naipit staff,BuildingCollapse,Critical
tlong po hindi ko makita kapatid ko natabunan ng semento,BuildingCollapse,Critical
COLLAPSE NA YUNG GYM SA PARANG MAY NAGLALARO,BuildingCollapse,Critical
bumagsak yung firewall ng kapitbahay sa bubong namin na trap kami,BuildingCollapse,Critical
gumuho yung tulay sa provident may mga sasakyan nahulog,BuildingCollapse,Critical
naipit yung paa ng tatay ko sa gumuhong beam tulungan nyo kami,BuildingCollapse,Critical
tulong gumuho yung convention center madaming tao,BuildingCollapse,Critical
BUMAGSAK YUNG CONDO UNIT TOWER B SA MARIKINA HEIGHTS,BuildingCollapse,Critical
collapsed structure near riverbanks mall urgent rescue needed,BuildingCollapse,Critical
natabunan ng lupa at bato yung bahay sa tabi ng bundok,BuildingCollapse,Critical
guho na ang palengke sa sto nino marami naipit,BuildingCollapse,Critical
saklolo gumuho yung extension ng bahay nandun mga anak ko,BuildingCollapse,Critical
CRITICAL! BUILDING COLLAPSE SA LILAC ST RESTAURANT ROW,BuildingCollapse,Critical
bumagsak yung ceiling ng ospital sa emergency room,BuildingCollapse,Critical
naipit sa gumuhong pader yung rescue team kailangan ng backup,BuildingCollapse,Critical
tulong po bumigay na yung sahig nahulog kami sa basement,BuildingCollapse,Critical
gumuhio na ung factory ng sapatos d2 sa fortune,BuildingCollapse,Critical
buried alive yung pamilya sa kabilang bahay tulong,BuildingCollapse,Critical
bumagsak yung water tank sa bahay nawasak lahat,BuildingCollapse,Critical
guho na yung waiting shed nadaganan mga naghihintay,BuildingCollapse,Critical
collapsed wall sa school canteen students trapped,BuildingCollapse,Critical
tulong bumigay yung scaffolding sa construction site may workers,BuildingCollapse,Critical
bumagsak yung billboard sa bahay wasak na wasak,BuildingCollapse,Critical
guho na yung parking building maraming kotse at driver,BuildingCollapse,Critical
TRAPPED KAMI SA CR GUMUHO NA LABAS,BuildingCollapse,Critical
bumigay yung riprap sa riverbanks gumuho kasama mga bahay,BuildingCollapse,Critical
tulong po natabunan kami ng hollow blocks,BuildingCollapse,Critical
COLLAPSED RESIDENTIAL BLDG SA IVC MAY MGA SENIOR,BuildingCollapse,Critical
gumuho yung 4th floor pabagsak sa kalsada may nadaanan,BuildingCollapse,Critical
naipit si mama sa gumuhong cabinet at pader,BuildingCollapse,Critical
bumagsak na yung poste ng meralco sa bubong namin may kuryente pa,BuildingCollapse,Critical
guho na yung barangay hall may meeting kanina,BuildingCollapse,Critical
tulong naipit kami sa gumuhong tunnel,BuildingCollapse,Critical
collapsed bridge sa tumana hindi makatawid rescue,BuildingCollapse,Critical
bumigay yung retaining wall sa marikina river gumuho mga shanty,BuildingCollapse,Critical
natabunan ng debris yung entrance ng subdivision di makalabas,BuildingCollapse,Critical
guho na yung internet cafe puno ng gamers,BuildingCollapse,Critical
tulong po bumagsak yung mezzanine floor,BuildingCollapse,Critical
collapsed roof sa factory sa parang,BuildingCollapse,Critical
naipit kami sa gumuhong stock room,BuildingCollapse,Critical
bumagsak yung pader ng sementeryo sa mga bahay,BuildingCollapse,Critical
guho na yung lumang building sa shoe avenue,BuildingCollapse,Critical
tulong may na trap sa elevator bumagsak yung shaft,BuildingCollapse,Critical
collapsed stairs hindi kami makababa guguho na buong bahay,BuildingCollapse,Critical
natabunan ng mga libro at estante sa library gumuho pader,BuildingCollapse,Critical
bumigay yung poste ng covered court dumagan sa tao,BuildingCollapse,Critical
guho na yung tiles section ng hardware nadaganan staff,BuildingCollapse,Critical
tulong po naipit sa gumuhong pinto,BuildingCollapse,Critical
collapsed balcony may tao nahulog,BuildingCollapse,Critical
bumagsak yung water tower sa subdivision,BuildingCollapse,Critical
guho na yung lumang sinehan,BuildingCollapse,Critical
tulong naipit sa gumuhong gate,BuildingCollapse,Critical
collapsed firewall sa concepcion dos,BuildingCollapse,Critical
bumigay yung pundasyon ng bahay sa tabi ng creek,BuildingCollapse,Critical
natabunan kami ng gumuhong lupa sa fortune,BuildingCollapse,Critical
